Category,tags,Title,Product Url,Primary Industries Icones,Features,Images Url,Standards - Text,Standards - Icons Urls,Applications,Download Documments,Product Details - Product Name,Product Details - Material,Product Details - Liner,Product Details - Grip,Product Details - Cuff,Product Details - Sizes,Product Details - Length /mm,Product Details - Thickness* (mm) / Weight* (g),Product Details - Colours,Product Details - Finish,Product Details - Ratings Icons,Product Details - Text,Product Details - Gauge/ gg,Product Details - Length / inches,Product Details - Length,Product Details - Product Type,Product Details - Type,Product Details - Shape,Product Details - Surface,Product Details - Class Type,Product Details - Marking tag color,Product Details - Cuff profile,Product Details - Length inches,Product Details - Thickness(max) mm,Product Details - Color,Product Details - Size range,Product Details - PPE Category,Product Details - Proof test voltage AC (V),"Product Details - Maximum working
voltage AC (V)",Product Details - Withstand voltage AC (V),Product Details - Category,Product Details - Arc Flash (EN61482-1-2),Product Details - Grip/Finish,Product Details - Colours Options,Product Details - Gauge (gge),Product Details - Cuffs,Product Details - ,Product Details - Material- Palm,Product Details - Material- Back of Palm,Product Details - Coating
"Categories: All products, Unsupported",,Fathom 35,https://www.dplgroup.com/product/fathom-35/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Household.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg ,"
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Extra light weight for better sensitivty
Easy-on-easy-off
Ingredients comply with FDA regulations for food contact (Blue and Yellow only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-45-New-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/1357615889Fathom-25-150x150.jpg ,"
PPE Regulation (EU) 2016/425
ASTM D4679 – 02 (2015)
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/virus.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Food Handling
Canning and Food processing
Pharmaceutical manufacturing
Laboratories
Dairy processing
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-35.pdf https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-35-1.pdf ,Fathom 35,Natural Rubber,Unlined,"Diamond, Reverse Lozenge (330 mm)","Straight, Pinked, Beaded","6-6.5, 7-7.5, 8-8.5, 9-9.5 & XL","300, 330",0.35 (14 mil),"Natural, Blue",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Magneto-02-232x300.jpg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom 35 Ultimate,https://www.dplgroup.com/product/fathom-35-ultimate/,https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Pharmaceutical.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Anatomically shaped for comfort
Tacky finish treatment allows for an enhanced anti-slip surface texture for good grip in wet and dry conditions
Low in soluble proteins
Easy-on-easy-off
Ingredients comply with FDA regulations for food contact (Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-35-Ultimate-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
EC/1935/2004
ASTM D4679 of 2002
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Food Industry
Laboratories
Pharmaceutical Manufacturing
Facility Maintenance
Janitorial
",https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-35-ultimate.pdf https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-35-Ultimate.pdf ,Fathom 35 Ultimate,Natural Rubber,Unlined,Sandpatch,Beaded,"6, 7, 8, 9, 10, 11",290 mm,0.35 mm,Natural/ Blue,Tacky,https://www.dplgroup.com/wp-content/uploads/2021/11/Magneto-02-232x300.jpg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom 45,https://www.dplgroup.com/product/fathom-45/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Household.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg ,"
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Extra light weight for better sensitivty
Easy-on-easy-off
Ingredients comply with FDA regulations for food contact (Blue and Yellow only)
Fathom 45 – Compliant with Italian Ministerial Decree 21/3/73 (contact condition – 2h, 40 0C) (Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-45-Blue-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-45-New-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-45-Red-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/fathom-45-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
EC/1935/2004
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Food Handling
Canning and Food processing
Pharmaceutical manufacturing
Laboratories
Dairy processing
Agriculture
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-45-1.pdf https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-45.pdf ,Fathom 45,Natural Rubber,Unlined,Diamond,"Straight, Pinked, Beaded","6-6.5, 7-7.5, 8-8.5, 9-9.5 & XL",300,0.45 (18 mil),"Natural, Blue",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/EN-388-01-5-238x300.png https://www.dplgroup.com/wp-content/uploads/2021/11/Magneto-02-232x300.jpg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom 80,https://www.dplgroup.com/product/fathom-80/,https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Industrial.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Construction.jpg ,"
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Low in soluble proteins
Higher thickness for better protection
Ingredients comply with FDA regulations for food contact (Black only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-90-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Agriculture
Construction
Industrial Cleaning
Food Industry
Faculty Maintenance
Janitorial
Laboratories
Light Engineering
Pharmaceutical Manufacturing
",,Fathom 80,Natural Rubber,Unlined,Diamond,Beaded,"6, 7, 8, 9, 10, 11",300,0.80,Black,Chlorinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom Flexi,https://www.dplgroup.com/product/fathom-flexi/,https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Natural Rubber elastomer with enhanced flexibility
Anatomically shaped for comfort
Low in soluble proteins
Easy-on-easy-off
Improved sensitivity and dexterity
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-25-copy-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-Flexi-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Food Processing
Janitorial
",https://www.dplgroup.com/wp-content/uploads/2022/03/SE-Fathom-flexi.pdf ,Fathom Flexi,Natural Rubber / Nitrile Blend,Unlined,Diamond,"Pinked, Straight","6-6.5, 7-7.5, 8-8.5, 9-9.5 & XL",300,0.35,Natural,Chlorinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom Herbal,https://www.dplgroup.com/product/fathom-herbal/,https://www.dplgroup.com/wp-content/uploads/2021/12/Household.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Life-Science-and-electronics.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg ,"
Inner surface treated with pure soothing Aloe Vera
Aloe Vera softens and moisturises skin
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Easy-on-easy-off
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-Herbal-1-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg ,"
Canning and Food Processing
Electronics and Small Parts Assembly
Laboratories
Pharmaceutical Manufacturing
Poultry
Household
Beauty Culture
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/03/SE-Fathom-herbal.pdf ,Fathom Herbal,Natural Rubber,Unlined,Diamond,Beaded,"6-6.5, 7-7.5, 8-8.5, 9-9.5, XL",300,0.52,Green,Chlorinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom Lite,https://www.dplgroup.com/product/fathom-lite/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Household.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Pharmaceutical.jpg ,"
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Extra light weight for better sensitivty
Easy-on- easy-off
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-Lite-new-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/1357615889Fathom-25-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-Lite-new-blue-150x150.jpg ,"
PPE Regulation (EU) 2016/425
ASTM D4679 – 02 (2015)
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Food Industry
Laboratories
Pharmaceutical Manufacturing
Facility Maintenance
Janitorial
",https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-lite.pdf ,Fathom Lite,Natural Rubber,Unlined,Diamond,Beaded,"6-6.5, 7-7.5, 8-8.5, 9-9.5,XL",300 mm,47g,"Natural, Blue",Chlorinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fathom Super 45,https://www.dplgroup.com/product/fathom-super-45/,https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Pharmaceutical.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
A blend of Natural Rubber and Chloroprene
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Low in soluble proteins
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-super-45-New-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/fathom-super-45-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
ASTM D4679 of 2002
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg ,"
Canning and Food Processing
Food service and catering
Pharmaceutical Manufacturing
Laboratories
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/01/Fathom-super-45.pdf ,Fathom Super 45,Natural Rubber/Neoprene blend,Unlined,Sand Patch,"Fluted, Straight","6-6.5, 7-7.5, 8-8.5, 9-9.5 & XL",320,0.45 (28 mil),"Natural, Blue",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Fathom-Super-45-01-232x300.png https://www.dplgroup.com/wp-content/uploads/2021/11/Extrawear-and-Extrawear-super-02-232x300.png ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Fisherman 100 / 120,https://www.dplgroup.com/product/fisherman-100-120/,https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg ,"
Excellent abrasion resistance
Extra thick for added protection
Crinkled palm enhances protection and grip
Anatomically shaped to provide good fit
Long cuff to protect forearm and upper arm
Compliant with (EC) No.1935/2004 and EU 10/2011
",https://www.dplgroup.com/wp-content/uploads/2021/11/fisherman-100-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/fisherman-100-150x150.jpg ,"
PPE Regulation (EU) 2016/425
EC/1935/2004
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg ,"
Fishing Industry
Oyster farming
",https://www.dplgroup.com/wp-content/uploads/2022/02/SE-Fisherman-100.pdf https://www.dplgroup.com/wp-content/uploads/2022/02/SE-Fisherman-120.pdf https://www.dplgroup.com/wp-content/uploads/2022/03/Fisherman-100.pdf https://www.dplgroup.com/wp-content/uploads/2022/03/Fisherman-120.pdf ,Fisherman 100,Natural Rubber,Unlined,Crinkled,Straight,"8, 9, 10, 11",320 mm,1.0 mm,"Natural, Red",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Fisherman-100-01-232x300.png ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,FRONTIER 75,https://www.dplgroup.com/product/frontier-75/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Chloroprene Rubber for superior chemical resistance
Extra long length for added protection
Anti-slip pattern for good grip in wet and dry conditions
Pure cotton flock lining to absorb perspiration
Ingredients comply with FDA regulations for food contact (Black and Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Frontier-75-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Frontier-78-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/virus.jpg ,"
Chemical Industry
Oil Refining
Automobile Industry
Industrial Cleaning
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/02/SE-Frontier-75.pdf https://www.dplgroup.com/wp-content/uploads/2022/02/DOC-Frontier.pdf ,Frontier 75,Neoprene,Flocklined,Honeycomb,Straight,"6-6.5, 7-7.5, 8-8.5, 9-9.5, 10-10.5 (Ex.Large)",300,0.75 mm (30 mil),Black,Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Grandeur-70-01-232x300.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/EN-ISO-374-TYPE-A-2-274x300.png ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,FRONTIER 78,https://www.dplgroup.com/product/frontier-78/,https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Chloroprene Rubber for superior chemical resistance
Extra long length for added protection
Anti-slip pattern for good grip in wet and dry conditions
Pure cotton flock lining to absorb perspiration
Ingredients comply with FDA regulations for food contact (Black and Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/Frontier-78-1000x1000-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Frontier-78-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/virus.jpg ,"
Chemical Industry
Oil Refining
Automobile Industry
Industrial Cleaning
Facility Maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/01/Frontier-78.pdf https://www.dplgroup.com/wp-content/uploads/2022/02/DOC-Frontier.pdf ,Frontier 78,Neoprene,Flocklined,Reverse Lozenge,Straight,"6-6.5, 7-7.5, 8-8.5, 9-9.5, 10-10.5 (Ex.Large)",380,0.78 mm (31 mil),Black,Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Grandeur-70-01-232x300.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/EN-ISO-374-TYPE-A-2-274x300.png ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Supported",,Fudo Shield A5,https://www.dplgroup.com/product/a4-food-processing-liner/,https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg ,"
ANSI Cut Resistance Level “A5”
Specially engineered liner for food compatibility (US FDA/ EU Food safe compliant)
Spandex in the glove allows for a good stretch and fit improving the user handling
The glove can be tailor-made based on customer requirement
Waterproof property to work in wet environment at ease
",https://www.dplgroup.com/wp-content/uploads/2021/11/Fudo-shield-A5-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Fudo-shield-A5-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/ECO-RPET.jpg ,"
Meat Processing Industry
Industrial Kitchens and Private Households
",,Fudo Shield A5,,"HPPE/ Stainless steel/
Polyester/ Spandex",,Blind Overlocked,"7,8,9,10,11,12",,,Blue and White,,https://www.dplgroup.com/wp-content/uploads/2021/11/EN-388-1X41E-238x300.jpg ,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Supported",,Gra-nit,https://www.dplgroup.com/product/gra-nit/,https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Logistics-and-Warehouse.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Construction.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Oil-and-Mining.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Waste-management.jpg ,"
Two-piece liner without seams in the working area eliminates hand irritation
Special performance thick Nitrile coating
Cotton jersey liner absorbs perspiration and adds to comfort
Excellent abrasion, blade cut and puncture resistance
Knitwrist prevents entry of debris
Available half and full coated
",https://www.dplgroup.com/wp-content/uploads/2021/11/Granit-copy-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/1339142689gra-nit-1-150x150.jpg ,"
PPE Regulation (EU) 2016/625
",https://www.dplgroup.com/wp-content/uploads/2021/12/CE-logo-new-2.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg ,"
Assembly and maintenance
Construction
Logistics and Warehousing
Automotive Industry
Oil and Gas Industry
",https://www.dplgroup.com/wp-content/uploads/2022/01/Gra-nit.pdf https://www.dplgroup.com/wp-content/uploads/2022/03/Granit.pdf ,Gra-Nit,Nitrile,Cotton Jersey liner,Flat Smooth,Knitwrist,"8, 9, 10, 11",,1.40mm,Blue,,https://www.dplgroup.com/wp-content/uploads/2021/11/EN-388-02-242x300.png ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Grandeur 60,https://www.dplgroup.com/product/grandeur-60/,https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Chloroprene layer for improved chemical resistance
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Pure cotton flock lining to absorb perspiration
Ingredients comply with FDA regulations for food contact (Blue and Orange only)
Compliant with (EC) No.1935/2004, EU 10/2011 & BfR XXI (Orange and Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/grandeur-70-1-copy-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/grandeur-70-2-copy-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Granduer-70-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/425
",https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/EN-ISO-374-5-2016.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Agriculture – Pesticide and Fertilizer handling
Chemical Handling
Facility maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/02/SE-Grandeur-60.pdf ,Grandeur 60,Natural Rubber/Chloroprene Blend,Flock lined,Honeycomb,Straight,"6-6.5, 7-7.5, 8-8.5, 9-9.5, XL","300, 320",0.60,"Blue, Orange",Chlorinated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Unsupported",,Grandeur 70,https://www.dplgroup.com/product/grandeur-70/,https://www.dplgroup.com/wp-content/uploads/2021/12/Chemical.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Agriculture-and-Farming.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Facility-Maintenance.jpg ,"
Chloroprene layer for improved chemical resistance
Anatomically shaped for comfort
Anti-slip pattern for good grip in wet and dry conditions
Pure cotton flock lining to absorb perspiration
Ingredients comply with FDA regulations for food contact (Blue and Orange only)
Compliant with (EC) No.1935/2004, EU 10/2011 & BfR XXI (Orange and Blue only)
",https://www.dplgroup.com/wp-content/uploads/2021/11/grandeur-70-1-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/grandeur-70-2-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Granduer-70-scaled-150x150.jpg ,"
PPE Regulation (EU) 2016/42
ASTM D4679 – 02 (2015)
",https://www.dplgroup.com/wp-content/uploads/2022/02/CE-logo.jpg https://www.dplgroup.com/wp-content/uploads/2022/02/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/virus.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Food-logo-01-238x300.png ,"
Agriculture – Pesticide and Fertilizer handling
Chemical Handling
Industrial cleaning/ Handling detergents
Facility maintenance
",https://www.dplgroup.com/wp-content/uploads/2022/03/SE-Grandeur-70.pdf https://www.dplgroup.com/wp-content/uploads/2022/03/DOC-Grandeur-70.pdf ,Grandeur 70,Natural Rubber/Neoprene blend,Flock lined,Honeycomb,Straight/Pinked,"6-6.5, 7-7.5, 8-8.5, 9-9.5 & Ex.Large","300, 320",0.70 (28 mil),"Orange, Blue",Chlorinated,https://www.dplgroup.com/wp-content/uploads/2021/11/Grandeur-70-01-232x300.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Nova-Super-65-and-75-02-232x300.jpg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Categories: All products, Disposables",,Gripper,https://www.dplgroup.com/product/gripper/,https://www.dplgroup.com/wp-content/uploads/2021/12/Medical.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Pharmaceutical.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Food.jpg https://www.dplgroup.com/wp-content/uploads/2021/12/Automotive-and-Transportation.jpg ,"
Raised diamond pattern for enhanced grip
Superior wet grip
Beaded cuff for added strength and easier donning
Free of natural rubber latex, reducing the potential risk of Type 1 Allergies
100% Nitrile with no plasticizers
",https://www.dplgroup.com/wp-content/uploads/2021/11/Gripper-scaled-150x150.jpg https://www.dplgroup.com/wp-content/uploads/2021/11/Gripper-1-scaled-150x150.jpg ,,https://www.dplgroup.com/wp-content/uploads/2021/11/CE-logo-new-294x300.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/Book-e1643276242604.jpg https://www.dplgroup.com/wp-content/uploads/2022/01/EN-ISO-374-5-2016.jpg ,"
Dental Patient Care
Pharmaceutical Manufacture
Laboratory Work
Food Processing
Automotive Repairs
Janitorial Work
Plumbing
",https://www.dplgroup.com/wp-content/uploads/2022/02/SE-Gripper-240mm.pdf https://www.dplgroup.com/wp-content/uploads/2022/02/CE-Gripper-8PF1G-Type-A.pdf https://www.dplgroup.com/wp-content/uploads/2022/02/DOC-8PF1G.pdf ,Gripper,Nitrile Rubber,,,Beaded,,240mm / 300mm,0.20mm,"Blue, Black, Orange",Powder-free,https://www.dplgroup.com/wp-content/uploads/2022/01/JKOPST-150x150.jpg ,,,,,,Non Sterile,Ambidextrous,Raised Diamond Grip,,,,,,,,,,,,,,,,,,,,,
